Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Laser Photonics,https://www.crunchbase.com/organization/laser-photonics-llc,"Feb 6, 2026","$14,100,000",Not Started,"Machinery Manufacturing, Manufacturing","Orlando, Florida, United States","LPC Designs and manufactures Industrial Grade Laser Cleaning & Rust Removal, 3D Printing, Cutting and Marking Machines","1,764",https://www.laserphotonics.com/,$1M to $10M,—,—,https://x.com/laserphotonics?lang=en,https://www.linkedin.com/company/laser-photonics/,51-100,"$5,000,000","Jan 1, 1981"
Uplift360,https://www.crunchbase.com/organization/uplift360,"Feb 6, 2026","€8,450,000",Not Started,"Advanced Materials, CleanTech, Manufacturing, Recycling","Luxembourg, Luxembourg, Luxembourg",Uplift360 develops chemical regeneration and recycling technologies to recover and reuse high-performance industrial materials.,"1,849",https://www.uplift360.tech/,$1M to $10M,"Promus Ventures, Extantia Capital, Sustainable Ventures, NATO Innovation Fund, Twin Track Ventures","Extantia Capital, Luxinnovation, Promus Ventures",,https://www.linkedin.com/company/uplift360,11-50,"€7,400,000",2021
Engie,https://www.crunchbase.com/organization/gdf-suez,"Feb 6, 2026","€1,850,100,000",Not Started,"Energy, Hydroelectric, Natural Resources, Oil and Gas, Renewable Energy","Paris, Ile-de-France, France",Engie is an energy transition company that provides renewable electricity and green gas for the industrial sector.,"2,449",http://www.engie.com/,$10B+,"International Finance Corporation, HSBC, BNP Paribas, Asian Infrastructure Investment Bank, Abu Dhabi Islamic Bank (ADIB)","Export and Investment Fund, International Finance Corporation, October, Toshiba Corporation",https://x.com/engiegroup,https://www.linkedin.com/company/engie,10001+,"€850,000,000",1834
Capalo AI,https://www.crunchbase.com/organization/capalo-ai,"Feb 6, 2026","€15,300,000",Not Started,"Artificial Intelligence (AI), Battery, Energy Storage","Kuopio, Eastern Finland, Finland",Capalo AI is a developer of an AI-optimized bidding platform that helps energy asset owners maximize their revenue in battery storage.,"2,538",https://capaloai.com/,—,"Inventure, VentureFriends, Tesi, Heartcore Capital, Innovestor","Heartcore Capital, Innovestor, PROfounders Capital, VentureFriends",,https://www.linkedin.com/company/capalo-ai,11-50,"€11,000,000",2022
Upexi,https://www.crunchbase.com/organization/upexi,"Feb 6, 2026","$860,243,034",Not Started,"Consumer Goods, E-Commerce, Retail","Tampa, Florida, United States",Upexi is a multi-faceted brand owner that focuses on direct-to-consumer and Amazon brands.,"2,651",https://upexi.com/,$10M to $50M,"White Star Capital, Hivemind Capital Partners, Morgan Creek Capital Management, Delta Blockchain Fund, GSR","Big Brain Holdings, GSR, Hivemind Capital Partners",,https://www.linkedin.com/company/upxi,51-100,"$7,414,290",2018
SmartKem,https://www.crunchbase.com/organization/smartkem,"Feb 6, 2026","$58,011,276",Not Started,"Electronics, Manufacturing, Semiconductor","Manchester, Manchester, United Kingdom","SmartKem develops a semiconductor platform that enables a new generation of displays, sensors, and logic.","6,055",http://www.smartkem.com/,Less than $1M,"Octopus Ventures, Innovate UK, EISMEA, BASF Venture Capital, Entrepreneurs Fund","BASF Venture Capital, EISMEA, Innovate UK, Octopus Ventures",https://x.com/smartkemtruflex,https://www.linkedin.com/company/1493296,11-50,"$2,000,000",2008
Curio,https://www.crunchbase.com/organization/curio-c54a,"Feb 6, 2026","$12,600,000",Not Started,"Energy, Environmental Engineering, Fuel, Nuclear","Washington, District of Columbia, United States",CURIO is a nuclear technology company that develops NuCycle systems to recycle nuclear waste into clean energy.,"6,216",https://curio.energy/,Less than $1M,"US Department of Energy, Synergos Holdings, Erez Capital, ARPA-E","ARPA-E, Erez Capital, Synergos Holdings, US Department of Energy",https://x.com/CurioLv,https://www.linkedin.com/company/curiolv,11-50,—,2021
Relay,https://www.crunchbase.com/organization/relay-a33d,"Feb 6, 2026","$31,000,000",Not Started,"Blockchain, Cryptocurrency, FinTech","New York, New York, United States",Relay is a multichain payments network that allows users to spend any digital asset to transact on any blockchain,"10,305",https://relay.link/bridge,—,"Union Square Ventures, Coinbase Ventures, Variant, Framework Ventures, Archetype","Archetype, Union Square Ventures",https://x.com/RelayProtocol,https://www.linkedin.com/company/relayprotocol/,11-50,"$17,000,000",2019
Zengun AB,https://www.crunchbase.com/organization/zengun-ab,"Feb 6, 2026","SEK750,000,000",Not Started,Construction,"Kista, Stockholms Lan, Sweden",Zengun AB offers construction contracting services to private and public property developers.,"15,464",https://zengun.se/sv/,$100M to $500M,—,—,,https://www.linkedin.com/company/zengun-ab/,101-250,"SEK750,000,000",2009
XDemics,https://www.crunchbase.com/organization/xdemics,"Feb 6, 2026","$12,943,623",Not Started,"Biopharma, Biotechnology, Medical, Wellness","Novato, California, United States",XDemics is a biotechnology research company that offers advanced cell and viral-based therapeutics.,"16,619",https://xdemics.com/,—,—,—,,https://www.linkedin.com/company/xdemics-corporation/,1-10,"$7,399,999",—
