Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Scientific Industries,https://www.crunchbase.com/organization/scientific-industries,"Apr 18, 2025","$21,100,000",Not Started,"Biotechnology, Commercial, Manufacturing","Bohemia, New York, United States","Scientific Industries is a commercial company that manufactures and markets mixers, shakers, incubators, and benchtop lab equipment.","180,734",https://www.scientificindustries.com/,$10M to $50M,—,—,,https://www.linkedin.com/company/scientific-industries,11-50,"$1,600,000","Jan 1, 1954"
ATMOS Space Cargo,https://www.crunchbase.com/organization/atmos-space-cargo,"Apr 17, 2025","€19,400,000",Not Started,"Aerospace, Manufacturing, Space Travel","Baden-baden, Baden-Wurttemberg, Germany","ATMOS Space Cargo develops and manufactures space capsules to return cargo from space, microgravity experiments to entire rocket stages.","10,451",https://atmos-space-cargo.com/,$10M to $50M,"HTGF (High-Tech Gruenderfonds), Seraphim Space, European Innovation Council, OTB Ventures, Mätch VC","Amadeus APEX Technology Fund, E2MC Ventures, EIC Accelerator, European Innovation Council, HTGF (High-Tech Gruenderfonds), Mätch VC, Seraphim Space, VENTIS CAPITAL",https://x.com/AtmosSpaceCargo,https://www.linkedin.com/company/atmos-space-cargo,11-50,"€1,000,000",2021
Edge Focus,https://www.crunchbase.com/organization/edge-focus,"Apr 17, 2025","$150,000,000",Not Started,"Financial Services, FinTech, Lending, Wealth Management","Chicago, Illinois, United States",Edge Focus develops and operates an advanced fintech platform in the area of investment management.,"13,558",https://www.edgefocuspartners.com/,$1M to $10M,"Cross River Bank, Nelnet, Nelnet Bank","Cross River Bank, Nelnet",,https://www.linkedin.com/company/edge-focus,11-50,"$150,000,000",2017
AA,https://www.crunchbase.com/organization/aa-654e,"Apr 17, 2025","£220,000,000",Not Started,"Automotive, Financial Services, Insurance","Basingstoke, Hampshire, United Kingdom","AA offers roadside assistance and insurance services, with a network of patrols across the UK.","14,307",https://www.theaa.com/,$100M to $500M,—,—,https://x.com/TheAA_uk,https://www.linkedin.com/company/the-aa,5001-10000,"£220,000,000",1905
1Fort AI,https://www.crunchbase.com/organization/1fort,"Apr 17, 2025","$12,343,517",Not Started,"Artificial Intelligence (AI), B2B, Insurance, SaaS, Software","New York, New York, United States",AI for insurance brokers,"18,209",https://www.1fort.ai/,$1M to $10M,"Draper Associates, Bonfire Ventures, Company Ventures, Village Global, Operator Partners","Bonfire Ventures, Grand Central Tech, Village Global",,https://www.linkedin.com/company/1fort/,11-50,"$9,853,517",2022
Cy4Data Labs,https://www.crunchbase.com/organization/cy4data-labs,"Apr 17, 2025","$10,000,000",Not Started,"Productivity Tools, SaaS, Security","San Jose, California, United States",Cy4Data Labs develops cutting-edge answers to practical problems.,"19,171",https://www.cy4datalabs.com/,$1M to $10M,Pelion Venture Partners,Pelion Venture Partners,,https://www.linkedin.com/company/cy4data-labs/,11-50,"$10,000,000",2024
MAGFAST,https://www.crunchbase.com/organization/magfast,"Apr 17, 2025","$10,461,717",Not Started,Consumer Electronics,"New York, New York, United States","The new family of wireless, magnetic chargers, that's changing charging for good.","23,870",https://www.magfast.com/,Less than $1M,Mirza Canada,—,https://x.com/getMAGFAST,https://www.linkedin.com/company/MAGFAST/,1-10,"$1,545,365","Mar 21, 2017"
Agratas,https://www.crunchbase.com/organization/agratas,"Apr 17, 2025","$1,108,022,750",Not Started,"Industrial, Machinery Manufacturing, Manufacturing","London, England, United Kingdom",Agrata's aim is to build world-class teams and provide best-in-class technologies.,"32,446",https://agratas.net/,—,Tata Group,Tata Group,https://x.com/agratas_e?lang=en,https://www.linkedin.com/company/agratas/,251-500,"£750,000,000",2023
"Lexington Medical, Inc.",https://www.crunchbase.com/organization/lexington-medical-inc,"Apr 17, 2025","$37,793,238",Not Started,"Health Care, Manufacturing, Medical Device","Billerica, Massachusetts, United States",Boston-based medical device company that manufactures minimally invasive surgical stapling solutions.,"38,132",https://www.lexington-med.com/,$10M to $50M,"Ampersand Capital Partners, BAMCAP, Norwich Ventures",Ampersand Capital Partners,,https://www.linkedin.com/company/lexington-medical-inc-/,101-250,"$37,793,238",2015
ZND,https://www.crunchbase.com/organization/znd-857b,"Apr 17, 2025","$20,000,000",Not Started,"Blockchain, Cryptocurrency, Financial Services","Tallinn, Harjumaa, Estonia","ZND mission is to empower users to take control of their financial future through simple, reliable, and AI-powered cryptocurrency solutions.","41,344",https://znd.co/,—,Rollman Management,Rollman Management,https://x.com/ZND_co,https://www.linkedin.com/company/znd/,11-50,"$20,000,000",2023
