Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Udemy,https://www.crunchbase.com/organization/udemy,"May 30, 2025","$511,380,000",Not Started,"EdTech, Education, E-Learning, Training","San Francisco, California, United States","Udemy is an online learning platform that helps students, companies, and governments gain the skills they need to reach their goals.","2,573",http://www.udemy.com/,$500M to $1B,"500 Global, Insight Partners, Norwest, Lightbank, Tencent","Benesse, Insight Partners, Lightbank, Manhattan Venture Partners (MVP), Meros Equity Global Management, Mindrock Capital, Naspers, Norwest, SharesPost Investment Management, Stripes, Tencent",https://x.com/udemy,http://www.linkedin.com/company/udemy,1001-5000,"$200,000,000",2009
Ryanair,https://www.crunchbase.com/organization/ryanair,"May 30, 2025","€1,500,000,000",Not Started,"Air Transportation, Fleet Management, Public Transportation","Swords, Dublin, Ireland",Ryanair is an airlines company that provides carrier services across 40 countries.,"8,549",http://www.ryanair.com/,$10B+,—,—,https://x.com/Ryanair,http://www.linkedin.com/company/ryanair,10001+,"€1,100,000,000",1985
LM Studio,https://www.crunchbase.com/organization/lm-studio-1f9c,"May 30, 2025","$19,324,955",Not Started,"Apps, Artificial Intelligence (AI), Information Technology","Brooklyn, New York, United States",LM Studio builds local AI apps without dealing with dependencies.,"12,098",https://lmstudio.ai/,—,—,—,https://x.com/lmstudio,https://www.linkedin.com/company/lmstudio-ai/,1-10,"$19,324,955",2022
Wellness Pet Company,https://www.crunchbase.com/organization/wellpet,"May 30, 2025","$100,000,000",Not Started,"Animal Feed, Consumer Goods, Food and Beverage, Pet, Wellness","Tewksbury, Massachusetts, United States",Wellness Pet Company is an independent branded premium natural pet food company.,"13,563",https://www.wellnesspet.com/,$10M to $50M,Clearlake Capital Group,—,https://x.com/WellPetJobs,https://www.linkedin.com/company/wellpet/,251-500,"$100,000,000","Jan 1, 2009"
Lykos Therapeutics,https://www.crunchbase.com/organization/maps-public-benefit-corp,"May 30, 2025","$150,000,000",Not Started,"Clinical Trials, Email, Health Care, Medical, Personal Development, Psychology","San Jose, California, United States","Lykos Therapeutics catalyzes healing and well-being through psychedelic drug development, therapist training programs.","14,832",https://lykospbc.com/,—,"True Ventures, KittyHawk, Helena, Unlikely Collaborators, Satori Capital","CH Foundation, Garcia Family Foundation, Helena",https://x.com/i/flow/login?redirect_after_login=%2FLykos_PBC,https://www.linkedin.com/company/lykos-therapeutics/,101-250,"$50,000,000",2014
Revolving Games,https://www.crunchbase.com/organization/revolving-games-inc,"May 30, 2025","$25,200,000",Not Started,"Blockchain, Gamification, Gaming, PC Games, Web3","San Francisco, California, United States",Revolving Games is a mobile game studio that creates and delivers Web3-enabled gaming experiences.,"21,440",http://revolvinggames.com/,$10M to $50M,"Polygon, Pantera Capital, Dapper Labs, Sarmayacar, Kenetic","Pantera Capital, Sarmayacar",https://x.com/revolving_games,https://www.linkedin.com/company/revolvinggames,101-250,—,"Jul 1, 2019"
Bloom Biorenewables Ltd,https://www.crunchbase.com/organization/bloom-biorenewables,"May 30, 2025","$21,856,514",Not Started,"Biomass Energy, Biopharma, Chemical, CleanTech, Energy, Sustainability","Fribourg, Fribourg, Switzerland",Bloom Biorenewables is making biomass a true alternative to petroleum.,"25,931",http://www.bloombiorenewables.com/,$1M to $10M,"Breakthrough Energy Ventures, European Innovation Council, Extantia Capital, Btomorrow Ventures, Amcor","Amcor, Anaïs Ventures, Breakthrough Energy Ventures, European Innovation Council, European Union, Foundation for Innovation and Technology (FIT), InvestHorizon, Third Derivative, Valquest Partners, Venture Kick, Yokogawa Electric Corp.",https://x.com/BloomBiorenewa1,https://www.linkedin.com/company/bloom-biorenewables/,1-10,—,"Jan 29, 2019"
ValorC3 Data Centers,https://www.crunchbase.com/organization/tonaquint,"May 30, 2025","$110,745,870",Not Started,"Data Center, Infrastructure, Telecommunications","Saint George, Utah, United States",ValorC3 Data Centers provides its customers the confidence to deliver multiple data infrastructure solutions.,"37,256",https://valorc3.com/,$1M to $10M,—,—,https://x.com/ValorC3_DC,https://www.linkedin.com/company/valorc3datacenters/,11-50,"$110,745,870",2007
Moog,https://www.crunchbase.com/organization/moog,"May 30, 2025","$250,000,000",Not Started,"Aerospace, Industrial, National Security","East Aurora, New York, United States","We work on some of the world’s most exciting technical projects, creating products that challenge the limits of what’s possible.","37,995",http://www.moog.com/,$1B to $10B,—,—,https://x.com/moogcomponents,http://www.linkedin.com/company/moog,10001+,"$250,000,000",1951
US Claims,https://www.crunchbase.com/organization/us-claims,"May 30, 2025","$122,650,000",Not Started,"B2C, Finance, Financial Services, Legal","Delray Beach, Florida, United States",USClaims is a pre-settlement financing firm that provides financial assistance during lawsuits.,"45,016",http://www.usclaims.com/,Less than $1M,Further Global Capital Management,Further Global Capital Management,https://x.com/usclaims,https://www.linkedin.com/company/us-claims/,51-100,"$60,000,000",1996
