Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Verana Health,https://www.crunchbase.com/organization/verana-health,"Jan 8, 2026","$340,800,000",Not Started,"Analytics, Biotechnology, Database, Health Care","San Francisco, California, United States",Verana Health is a digital health company that delivers drug lifecycle management and medical practice.,"12,512",https://www.veranahealth.com/,$10M to $50M,"Novo Holdings, Casdin Capital, Bain Capital Ventures, Google Ventures, Johnson & Johnson Innovation","Google Ventures, Johnson & Johnson Innovation, Novo Holdings",https://x.com/veranahealth,https://www.linkedin.com/company/verana-health/,51-100,"$52,000,000",2008
encoord,https://www.crunchbase.com/organization/encoord,"Jan 8, 2026","$7,160,400",Not Started,"Energy, Software","Denver, Colorado, United States",encoord provides software tools to plan today's energy systems and their transition to a decarbonized future.,"13,785",https://encoord.com/,$1M to $10M,"KittyHawk, Colorado Office of Economic Development and International Trade, Marco Marinucci","Colorado Office of Economic Development and International Trade, KittyHawk",,https://www.linkedin.com/company/encoord,11-50,"$2,000,000","Apr 5, 2019"
Roc360,https://www.crunchbase.com/organization/roc360,"Jan 8, 2026","$350,000,000",Not Started,"Financial Services, Impact Investing, Real Estate Investment","New York, New York, United States",Roc360 offers a financial service platform for residential real estate investors.,"13,970",https://www.roc360.com/,$1M to $10M,Temasek Holdings,Temasek Holdings,https://x.com/RocThreeSixty,https://www.linkedin.com/company/roc360/,251-500,"$150,000,000",2014
Enodia Therapeutics,https://www.crunchbase.com/organization/enodia-therapeutics,"Jan 8, 2026","€20,700,000",Not Started,"Biotechnology, Health Care, Medical, Therapeutics","Paris, Ile-de-France, France","Enodia Therapeutics is a biotech company that provides transforming treatments for cancer, inflammation, and viral infection diseases.","14,850",https://www.enodiatx.com/,—,"Bpifrance, Elaia, Mission BioCapital, ARGOBIO, Pfizer Venture Investments","Bpifrance, Elaia, Pfizer Venture Investments",,https://www.linkedin.com/company/enodiatx,1-10,"€20,700,000",2025
Carna Health,https://www.crunchbase.com/organization/carna-health,"Jan 8, 2026","$11,400,000",Not Started,"Biotechnology, Health Care, Health Diagnostics, Medical","Boston, Massachusetts, United States",Carna Health is a biotech company that brings common clinical whole blood tests into the comfort of the patient’s home.,"15,465",https://carna.health/,Less than $1M,"Andrew Roosevelt, Salvatore Giovanni Viscomi, John Brooks, Mark Boulding, Brandon Salomon",—,,https://www.linkedin.com/company/carna-health/,11-50,"$8,000,000",2021
Luxury Presence,https://www.crunchbase.com/organization/luxury-presence,"Jan 8, 2026","$87,500,000",Not Started,"Advertising, Real Estate","Santa Monica, California, United States",Luxury Presence is a website and marketing system used by the world’s leading real estate agents and brokers.,"15,599",https://www.luxurypresence.com/,$50M to $100M,"Bessemer Venture Partners, JP Morgan, Scribble Ventures, 75 & Sunny, Switch Ventures","75 & Sunny, Bessemer Venture Partners, JP Morgan, Switch Ventures",,https://www.linkedin.com/company/luxurypresence/,501-1000,"$22,000,000",2016
University of Rhode Island,https://www.crunchbase.com/organization/university-of-rhode-island,"Jan 8, 2026","$71,265,345",Not Started,"Education, Health Care, Universities","Kingston, Rhode Island, United States",University of Rhode Island is a research and graduate institution offering graduate and undergraduate programs.,"15,657",http://www.uri.edu/,$500M to $1B,"National Science Foundation, US Department of Energy, U.S. Department of Defense, National Institutes of Health, Ørsted","Alfred J Verrecchia, Cathy Rayan, Foundation for Opioid Response Efforts, Geraldine Verrecchia, National Endowment for the Humanities (NEH), National Institutes of Health, National Science Foundation, Ørsted, Rhode Island Department of Health, RI Life Science Hub, The Champlin Foundation, Thomas Ryan, U.S. Department of Defense, US Department of Energy",https://x.com/URINews,http://www.linkedin.com/edu/university-of-rhode-island-19357,1001-5000,"$199,856","May 19, 1892"
VolitionRx,https://www.crunchbase.com/organization/volitionrx,"Jan 8, 2026","$101,224,982",Not Started,"Biotechnology, Health Care, Health Diagnostics","Henderson, Nevada, United States",VolitionRx develops easy to use blood-based cancer tests to accurately diagnose a range of cancers.,"20,316",https://volition.com/,$1M to $10M,"WE International, Namur Invest","Namur Invest, WE International",https://x.com/VolitionRx,https://www.linkedin.com/company/volitionrx,51-100,"$2,000,000",2010
Alpenglow Biosciences,https://www.crunchbase.com/organization/lightspeed-microscopy-inc,"Jan 8, 2026","$7,850,000",Not Started,"3D Technology, Life Science, Medical","Seattle, Washington, United States",Alpenglow Biosciences is an end-to-end 3D pathology platform that aims to accelerate drug development and improve clinical diagnostics.,"20,508",https://www.alpenglowbiosciences.com/,$1M to $10M,"Creative Destruction Lab (CDL), Dynamk Capital, Mike Rice, National Institute of Health, Andy Hill Cancer Research Endowment (CARE) Fund","Andy Hill Cancer Research Endowment (CARE) Fund, Dynamk Capital, Mike Rice, National Institute of Health",,https://www.linkedin.com/company/alpenglow-biosciences/,11-50,"$250,000",2018
Enhanced Digital Group,https://www.crunchbase.com/organization/enhanced-digital-group,"Jan 8, 2026","$12,500,000",Not Started,"Asset Management, Cryptocurrency, Financial Services, Wholesale","New York, New York, United States","Enhanced Digital Group provides wholesale, customized structured products and derivative trading solutions.","21,173",https://www.enhanceddigital.group/,$1M to $10M,"Tribe Capital, Karatage, StoneX, New Form Capital, Genesis","Genesis, StoneX, WebN Group",,https://www.linkedin.com/company/enhanced-digital-group/,11-50,—,2021
Wedge,https://www.crunchbase.com/organization/competitive-wedge,"Jan 8, 2026","$8,666,767",Not Started,"Human Resources, Information Technology, Recruiting, Video on Demand","Grand Rapids, Michigan, United States",Competitive Wedge offers a one-way recorded video interview built for the demands of modern recruiting.,"21,277",https://www.wedgehr.com/,$1M to $10M,"Northgate Capital, Michigan Rise, BDev Ventures, Michigan Capital Network, David Beemer",—,https://x.com/wedge_hr?lang=en,https://www.linkedin.com/company/competitive-wedge,11-50,"$1,494,439",2015
Perceptive,https://www.crunchbase.com/organization/perceptive-3c4d,"Jan 8, 2026","$15,000,000",Not Started,"Clinical Trials, Health Care, Pharmaceutical","London, England, United Kingdom","Perceptive provides clinical research services including medical imaging, eClinical platforms, adjudication and trial supply management.","22,224",https://www.perceptive.com/,$100M to $500M,CapVest,CapVest,,https://www.linkedin.com/company/perceptive-inc,1001-5000,"$15,000,000",1996
Hugo Technologies,https://www.crunchbase.com/organization/hugo-technologies-fce5,"Jan 8, 2026","$30,000,000",Not Started,"Artificial Intelligence (AI), Business Development, Data Management, Facilities Support Services, Technical Support","Chicago, Illinois, United States","Hugo Technologies offers outsourcing for customer support, e-commerce management, fraud prevention, and AI data processing.","23,356",https://www.hugoinc.com/,—,Chicago Atlantic Group,Chicago Atlantic Group,https://x.com/thehugohq,https://www.linkedin.com/company/hugo-africa,1001-5000,"$30,000,000",—
Cream Co.,https://www.crunchbase.com/organization/cream-co-47fe,"Jan 8, 2026","$21,278,175",Not Started,"E-Commerce, Food and Beverage, Sustainability","Oakland, California, United States",Cream Co. connects chefs with sustainably-empower ranches via a curated line of humanely raised animals.,"23,986",https://creamcomeats.com/,—,"Builders Vision, U.S. Department of Agriculture, The Schmidt Family Foundation, Soilworks Natural Capital, Desert Bloom","Soilworks Natural Capital, U.S. Department of Agriculture",,https://www.linkedin.com/company/cream-co./,11-50,"$8,000,000",2016
Just - Evotec Biologics,https://www.crunchbase.com/organization/just-biotherapeutics,"Jan 8, 2026","$162,617,032",Not Started,"Biopharma, Biotechnology, Health Care, Medical, Pharmaceutical","Seattle, Washington, United States",Designing innovative technologies focused on accelerating global access to biotherapeutics.,"25,305",http://www.justbiotherapeutics.com/,$1M to $10M,"Bill & Melinda Gates Foundation, Temasek Holdings, Hillhouse Investment, ARCH Venture Partners, Lilly Asia Ventures","Bill & Melinda Gates Foundation, Hillhouse Investment, Temasek Holdings",,https://www.linkedin.com/company/just-inc-,251-500,—,2014
Air France KLM,https://www.crunchbase.com/organization/air-france,"Jan 8, 2026","€4,401,000,000",Not Started,"Aerospace, Transportation","Roissy, Ile-de-France, France","Air France-KLM offers passenger and cargo transportation services, aeronautics maintenance, and other air-transport related activities.","25,646",http://www.airfranceklm.com/en,$10B+,"Accor, China Eastern Airlines, Delta Air Lines, CMA CGM","Accor, CMA CGM",https://x.com/airfrance,https://www.linkedin.com/company/air-france--klm,10001+,"€650,000,000","Oct 7, 1919"
Idea Financial,https://www.crunchbase.com/organization/idea-247,"Jan 8, 2026","$71,500,000",Not Started,"Banking, Consulting, Crowdfunding, Financial Services, Information Technology, Venture Capital","Miami, Florida, United States",Idea Financial a team of experienced business advisors and financial services,"25,992",https://www.ideafinancial.com/,$10M to $50M,"Performance Trust Capital Partners, EverBank Financial","EverBank Financial, Performance Trust Capital Partners",https://x.com/ideafinancial,https://www.linkedin.com/company/ideafinancial/,51-100,"$20,000,000",2017
Monte Rosa Therapeutics,https://www.crunchbase.com/organization/monte-rosa-therapeutics,"Jan 8, 2026","$648,500,000",Not Started,"Biotechnology, Medical, Therapeutics","Basel, Basel-Stadt, Switzerland",Monte Rosa Therapeutics is a biotechnology company that develops cancer therapeutics that modulate protein degradation pathways.,"27,513",https://www.monterosatx.com/,$10M to $50M,"Cormorant Asset Management, RTW Investments, Fidelity, New Enterprise Associates, Casdin Capital","Aisling Capital, Avoro Capital Advisors",https://x.com/MonteRosaTx,https://www.linkedin.com/company/monte-rosa-therapeutics/,101-250,"$300,000,000",2018
